genre,artist,album
Classic Soul,Sam Cooke,Swing Low
Classic Soul,Sam Cooke,Swing Low
Classic Soul,Sam Cooke,Swing Low
Classic Soul,Sam Cooke,Swing Low
Classic Soul,Sam Cooke,Swing Low
Classic Soul,Sam Cooke,Swing Low
Classic Soul,Sam Cooke,Swing Low
Classic Soul,Sam Cooke,Swing Low
Classic Soul,Sam Cooke,Swing Low
Classic Soul,Sam Cooke,Swing Low
Classic Soul,Sam Cooke,Swing Low
Classic Soul,Sam Cooke,Swing Low
Rock,Peter Garrett,A Version of Now
Country,Thomas Rhett,Tangled Up
Progressive/Art Rock,Yes,Tales From Topographic Oceans
null,Dierks Bentley,Black
Pop,80s Chartstarz,1980's Best Tunes
Pop,80s Chartstarz,1980's Best Tunes
Pop,80s Chartstarz,1980's Best Tunes
Pop,80s Chartstarz,1980's Best Tunes
Pop,80s Chartstarz,1980's Best Tunes
Pop,80s Chartstarz,1980's Best Tunes
Pop,80s Chartstarz,1980's Best Tunes
Pop,80s Chartstarz,1980's Best Tunes
Pop,80s Chartstarz,1980's Best Tunes
Pop,80s Chartstarz,1980's Best Tunes
Pop,80s Chartstarz,1980's Best Tunes
Pop,80s Chartstarz,1980's Best Tunes
Pop,80s Chartstarz,1980's Best Tunes
Pop,80s Chartstarz,1980's Best Tunes
Pop,80s Chartstarz,1980's Best Tunes
Pop,80s Chartstarz,1980's Best Tunes
Pop,80s Chartstarz,1980's Best Tunes
Pop,80s Chartstarz,1980's Best Tunes
Pop,80s Chartstarz,1980's Best Tunes
Pop,80s Chartstarz,1980's Best Tunes
Pop,80s Chartstarz,1980's Best Tunes
Pop,80s Chartstarz,1980's Best Tunes
Pop,80s Chartstarz,1980's Best Tunes
Pop,80s Chartstarz,1980's Best Tunes
Pop,80s Chartstarz,1980's Best Tunes
Pop,80s Chartstarz,1980's Best Tunes
Pop,80s Chartstarz,1980's Best Tunes
Pop,80s Chartstarz,1980's Best Tunes
Pop,80s Chartstarz,1980's Best Tunes
Pop,80s Chartstarz,1980's Best Tunes
Pop,80s Chartstarz,1980's Best Tunes
Pop,80s Chartstarz,1980's Best Tunes
Jazz,Jimmy Bruno,Solo
Alternative/Indie,Alice Merton,No Roots EP
Country,Sam Hunt,Body Like A Back Road
Progressive/Art Rock,Jethro Tull,Songs From The Wood
Country,Jason Aldean,Rearview Town
Rock,The Ventures,Walk Don't Run
Pop,The Champs,Tequila
Rock,The Ventures,Gold
'60s Pop,Beach Boys,Beach Boys
'60s Pop,Beach Boys,Beach Boys
'60s Pop,Beach Boys,Beach Boys
'60s Pop,Beach Boys,Beach Boys
'60s Pop,Beach Boys,Beach Boys
Pop,Bebe Rexha,All Your Fault: Pt. 2
Country,Jason Aldean,Rearview Town
Pop,Bebe Rexha,All Your Fault: Pt. 2
Dance/Electronic,Julia Michaels,Issues (Alan Walker Remix)
Pop,"R3HAB, Lia Marie Johnson",The Wave
Pop,Cheat Codes,No Promises (feat. Demi Lovato)
Pop,MAX,Hell's Kitchen Angel
Pop,Kiiara,Gold
Electropop,Halsey,hopeless fountain kingdom (Deluxe)
Pop,Bebe Rexha,All Your Fault: Pt. 2
Pop,Daya,"Sit Still, Look Pretty"
Dance/Electronic,Clean Bandit,Solo (feat. Demi Lovato)
Pop,Maroon 5,Red Pill Blues
Pop,Jason Derulo,Tip Toe (feat. French Montana)
Dance/Electronic,Jonas Blue,Rise
Pop,Lukas Graham,Lukas Graham
Pop,Shawn Mendes,Mercy (Loote Remix)
Pop,Charlie Puth,Attention (Acoustic)
Hip-Hop/Rap,Flo Rida,Dancer
Contemporary R&B,Bebe Rexha,All Your Fault: Pt. 1
Pop,Zara Larsson,So Good
Pop,Snakehips & MØ,Don't Leave
Pop,Rita Ora,Your Song (Acoustic)
Dance/Electronic,Galantis,Hunter
Contemporary R&B,Alessia Cara,Know-It-All (Deluxe)
World,Major Lazer,Know No Better
Pop,Jess Glynne,I'll Be There
R&B/Soul,Khalid & Normani,Love Lies
Pop,Hailee Steinfeld,How To Be Single: Original Motion Picture Soundtrack
House,Marshmello & Omar LinX,Joytime
Pop,Ed Sheeran,(Deluxe)
Electropop,Halsey,hopeless fountain kingdom (Deluxe)
Dance/Electronic,Lost Kings,First Love
Pop,Bebe Rexha,Expectations
Pop,Dua Lipa,Dua Lipa (Deluxe)
Hip-Hop/Rap,Post Malone,Crowd Pleasers (Vol. II)
Pop,Demi Lovato,Confident (Deluxe Edition)
Pop,Liam Payne,Familiar
Dance/Electronic,Martin Garrix,Scared To Be Lonely Remixes Vol. 1
Alternative/Indie,Imagine Dragons,Thunder / Young Dumb & Broke (Medley)
Pop,DNCE,DANCE
Dance/Electronic,The Chainsmokers,Closer (Remixes)
Pop,Anne-Marie,Speak Your Mind (Deluxe)
Pop,Camila Cabello,Camila
Pop,Daya,New
Pop,Bebe Rexha,Gone
Dance/Electronic,Clean Bandit,Symphony (feat. Zara Larsson) [Alternative Version]
Pop,Rachel Platten,Wildfire
Pop,Zara Larsson,So Good
Soundtracks,ZAYN & Taylor Swift,Fifty Shades Darker (Original Motion Picture Soundtrack)
Dance/Electronic,Kygo,Born To Be Yours
Pop,Dawin,Dessert
