Pop,80s Chartstarz,1980's Best Tunes
Dance/Electronic,Galantis,Hunter
Pop,MAX,Hell's Kitchen Angel
Dance/Electronic,Clean Bandit,Symphony (feat. Zara Larsson) [Alternative Version]
Pop,Snakehips & MØ,Don't Leave
Country,Jason Aldean,Rearview Town
Pop,Shawn Mendes,Mercy (Loote Remix)
Pop,Maroon 5,Red Pill Blues
Pop,Bebe Rexha,Expectations
Pop,Rachel Platten,Wildfire
Dance/Electronic,Kygo,Born To Be Yours
Pop,Daya,New
Pop,Dua Lipa,Dua Lipa (Deluxe)
Rock,The Ventures,Gold
Contemporary R&B,Bebe Rexha,All Your Fault: Pt. 1
Pop,Anne-Marie,Speak Your Mind (Deluxe)
Hip-Hop/Rap,Post Malone,Crowd Pleasers (Vol. II)
Dance/Electronic,Martin Garrix,Scared To Be Lonely Remixes Vol. 1
Rock,The Ventures,Walk Don't Run
Dance/Electronic,Jonas Blue,Rise
Progressive/Art Rock,Yes,Tales From Topographic Oceans
Pop,Kiiara,Gold
Pop,Daya,"Sit Still, Look Pretty"
Classic Soul,Sam Cooke,Swing Low
Pop,Demi Lovato,Confident (Deluxe Edition)
Soundtracks,ZAYN & Taylor Swift,Fifty Shades Darker (Original Motion Picture Soundtrack)
Pop,Charlie Puth,Attention (Acoustic)
Pop,Jess Glynne,I'll Be There
Dance/Electronic,Clean Bandit,Solo (feat. Demi Lovato)
Dance/Electronic,Julia Michaels,Issues (Alan Walker Remix)
Pop,Zara Larsson,So Good
R&B/Soul,Khalid & Normani,Love Lies
Alternative/Indie,Imagine Dragons,Thunder / Young Dumb & Broke (Medley)
Pop,Lukas Graham,Lukas Graham
Pop,Camila Cabello,Camila
Pop,Dawin,Dessert
Pop,Bebe Rexha,All Your Fault: Pt. 2
Pop,Hailee Steinfeld,How To Be Single: Original Motion Picture Soundtrack
Electropop,Halsey,hopeless fountain kingdom (Deluxe)
Country,Thomas Rhett,Tangled Up
Contemporary R&B,Alessia Cara,Know-It-All (Deluxe)
World,Major Lazer,Know No Better
Rock,Peter Garrett,A Version of Now
Pop,Bebe Rexha,Gone
genre,artist,album
Progressive/Art Rock,Jethro Tull,Songs From The Wood
null,Dierks Bentley,Black
Alternative/Indie,Alice Merton,No Roots EP
Pop,Jason Derulo,Tip Toe (feat. French Montana)
Pop,Ed Sheeran,(Deluxe)
Dance/Electronic,The Chainsmokers,Closer (Remixes)
Pop,Liam Payne,Familiar
Jazz,Jimmy Bruno,Solo
House,Marshmello & Omar LinX,Joytime
Pop,The Champs,Tequila
Pop,Cheat Codes,No Promises (feat. Demi Lovato)
'60s Pop,Beach Boys,Beach Boys
Pop,DNCE,DANCE
Hip-Hop/Rap,Flo Rida,Dancer
Dance/Electronic,Lost Kings,First Love
Pop,Rita Ora,Your Song (Acoustic)
Country,Sam Hunt,Body Like A Back Road
Pop,"R3HAB, Lia Marie Johnson",The Wave
